evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
22,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4503026941209579,0.3523026941209579,0.4450813333692908,0.34708133336929076,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
23,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44926172837053446,0.35126172837053443,0.4457029863548408,0.34770298635484076,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
24,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4477606738509413,0.3497606738509413,0.4437917945069058,0.3457917945069058,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
25,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4473689041003488,0.34936890410034876,0.44329122415461675,0.3452912241546167,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
26,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44704835714187674,0.34904835714187665,0.44275829422696605,0.34475829422696597,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
27,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44681116746911,0.34881116746910995,0.4422898059867479,0.34428980598674785,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
28,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44591434853044926,0.3479143485304493,0.44011122578309747,0.3421112257830975,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
29,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.444597822555106,0.34659782255510596,0.4384524461776604,0.34045244617766035,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
30,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4429721028292245,0.34497210282922447,0.43594376728857903,0.337943767288579,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
31,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4419902778816177,0.3439902778816177,0.4357257732311627,0.33772577323116265,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
32,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44112889749341716,0.34312889749341713,0.43560458414575365,0.3376045841457536,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
33,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44121102028593284,0.34321102028593287,0.4354752733272414,0.3374752733272414,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
34,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44189802077125206,0.34389802077125203,0.43563232052865763,0.3376323205286576,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
35,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4425131307208803,0.34451313072088025,0.4351988046585965,0.3371988046585965,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
36,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44327251077042645,0.3452725107704265,0.4349858990759731,0.33698589907597315,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
37,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4439317155138303,0.3459317155138303,0.4351536065465611,0.33715360654656107,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
38,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4451388781236606,0.3471388781236605,0.43646519614672624,0.33846519614672615,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
39,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44618423244466,0.34818423244465996,0.4381363687673267,0.34013636876732667,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
40,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4478824063699022,0.3498824063699021,0.4421026449466739,0.3441026449466738,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
41,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4481484833763886,0.35014848337638854,0.44298590565038143,0.3449859056503814,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
42,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44829512220148543,0.35029512220148534,0.44357772487828195,0.34557772487828187,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
43,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4470452681785142,0.34904526817851417,0.44022809526857853,0.3422280952685785,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
44,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44592996350138653,0.3479299635013865,0.4377398102861511,0.3397398102861511,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
45,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44405339793479753,0.3460533979347975,0.4345388539657425,0.33653885396574246,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
46,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44186202057544766,0.34386202057544757,0.4314304798702655,0.3334304798702654,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
47,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4394256476294438,0.3414256476294438,0.4278312528913328,0.32983125289133275,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
48,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4372344207971251,0.33923442079712507,0.42597827086420037,0.32797827086420034,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
49,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4355339429702047,0.33753394297020467,0.4253497977972331,0.32734979779723306,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
50,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4336132051264528,0.33561320512645276,0.4262814013097526,0.3282814013097526,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
51,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43220263307735396,0.3342026330773539,0.4260655585477346,0.3280655585477345,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
52,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4307049884479689,0.3327049884479688,0.4258263465804769,0.3278263465804768,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
53,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42950486559058076,0.3315048655905807,0.4248089816117342,0.3268089816117341,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
54,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42779506702794085,0.32979506702794087,0.4224323380958351,0.3244323380958351,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
55,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.426379873938351,0.3283798739383509,0.42018121639422495,0.32218121639422487,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
56,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42531630034834933,0.32731630034834924,0.41869664661578754,0.32069664661578745,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
57,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42490426065754994,0.32690426065754996,0.4181171058195761,0.32011710581957614,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
58,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42400569994278714,0.32600569994278705,0.4170458310663447,0.3190458310663446,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
59,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4235803799624307,0.32558037996243067,0.41730187441174915,0.3193018744117491,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
60,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4231466097377723,0.32514660973777226,0.41775281966231403,0.319752819662314,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
61,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4232280532635759,0.3252280532635758,0.4176599500328433,0.3196599500328432,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
62,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42372437946255725,0.3257243794625573,0.417291785956273,0.319291785956273,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
63,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4245888746989629,0.3265888746989629,0.41703178939458796,0.319031789394588,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
64,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42677970990462805,0.328779709904628,0.41705138955308096,0.31905138955308093,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
65,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42954093958353656,0.33154093958353653,0.4178354474229368,0.3198354474229368,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
66,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43225606965694735,0.3342560696569473,0.4197109812892141,0.32171098128921405,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
67,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43400637176568974,0.3360063717656897,0.42222854910114,0.32422854910113996,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
68,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43580610878964804,0.337806108789648,0.42621355302303604,0.328213553023036,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
69,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43656712090143335,0.33856712090143337,0.42783834016270456,0.3298383401627046,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
70,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4375096070894509,0.3395096070894508,0.4299264619542475,0.3319264619542474,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
71,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43774439953811894,0.3397443995381189,0.43059052400631737,0.33259052400631733,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
72,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4376471352220432,0.33964713522204315,0.430311900132915,0.33231190013291495,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
73,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4370344598285604,0.33903445982856034,0.4285907004352163,0.33059070043521627,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
74,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43528509351867495,0.33728509351867497,0.425384184762575,0.327384184762575,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
75,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4330387758136453,0.33503877581364533,0.4233573784001734,0.3253573784001734,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
76,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4307088399670529,0.33270883996705286,0.42248846638642795,0.3244884663864279,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
77,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42911232529607685,0.3311123252960768,0.4213903533574787,0.3233903533574787,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
78,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42795012007309874,0.3299501200730987,0.42115159482990805,0.323151594829908,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
79,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4269185637920795,0.3289185637920794,0.42077446534434376,0.3227744653443437,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
80,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4254247521635173,0.3274247521635173,0.42096621323336614,0.32296621323336616,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
81,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4241300486147769,0.3261300486147768,0.4200748958913017,0.3220748958913016,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
82,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4228822987923403,0.32488229879234026,0.4191885552131189,0.32118855521311884,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
83,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4221036721514822,0.32410367215148217,0.4186704584446894,0.3206704584446894,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
84,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4215560971411823,0.3235560971411823,0.41780817530329184,0.3198081753032918,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
85,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4212350817202243,0.32323508172022425,0.41755797484373164,0.3195579748437316,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
86,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4215139711301852,0.32351397113018515,0.41740074607994515,0.3194007460799451,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
87,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42230382850226683,0.3243038285022668,0.41654737376581796,0.31854737376581793,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
88,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4226163064949632,0.3246163064949632,0.41637335811704346,0.3183733581170435,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
89,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.42348686281200826,0.3254868628120082,0.41584933462781754,0.3178493346278175,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
90,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4251050130462734,0.3271050130462734,0.41543380761617027,0.31743380761617024,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
91,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4268623915376445,0.3288623915376444,0.4165754900104952,0.3185754900104951,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
92,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4291253501702494,0.33112535017024936,0.41834951772502577,0.32034951772502573,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
93,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43110601795512193,0.3331060179551219,0.42069822745012636,0.32269822745012633,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
94,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4337900467726545,0.3357900467726545,0.42389463494542184,0.32589463494542187,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
95,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43603354444241793,0.3380335444424179,0.4278322081657646,0.3298322081657646,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
96,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.43767482979156186,0.3396748297915618,0.4306439459457515,0.3326439459457515,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
97,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4395531461979999,0.34155314619799987,0.4316014122286678,0.3336014122286678,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
98,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4415483407093722,0.34354834070937224,0.4345300022532325,0.33653000225323254,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
99,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44362205062960014,0.34562205062960005,0.4361221355550091,0.33812213555500903,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
100,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.445226754028749,0.34722675402874903,0.43710853139464734,0.33910853139464736,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
101,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4466996224521796,0.3486996224521795,0.43934426220564254,0.34134426220564246,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
102,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4480020535781306,0.3500020535781306,0.4407759312237555,0.3427759312237555,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
103,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.44978210601402135,0.3517821060140213,0.44304416163698623,0.3450441616369862,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
104,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.45064942926095225,0.3526494292609522,0.4441686149188035,0.34616861491880346,False,no_candidate_improvement,-0.09800000000000003,0.21000000000000002,False
105,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4513391604094041,0.3533391604094041,0.4459775975888246,0.3479775975888246,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
106,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.4528761563855054,0.3548761563855053,0.448889404060023,0.3508894040600229,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
